gene ID	gene name	p-value	K	Ks
136227	EMID2	0.0018897951064253	1	1
138474	TAF1L	0.0018897951064253	1	1
374650	GOLGA6L5	0.0018897951064253	1	1
5301	PIN1P1	0.0018897951064253	1	1
1452	CSNK1A1	0.0031757143610376	37	2
1020	CDK5	0.000589097643918962	70	3
388	RHOB	0.00248657250845434	1	1
1454	CSNK1E	0.003630876851694	35	2
4040	LRP6	4.15348398581027e-05	4	2
4775	NFATC3	7.4411312059756e-05	5	2
6571	SLC18A2	7.4411312059756e-05	5	2
1453	CSNK1D	3.72145927411682e-07	21	4
5664	PSEN2	1.44669771796985e-05	16	3
10971	YWHAQ	3.21858711748244e-05	20	3
23621	BACE1	6.24299709504987e-05	4	2
637	BID	8.71195574933782e-05	26	3
25865	PRKD2	0.000132731834111282	29	3
999	CDH1	0.000176907503408457	31	3
1499	CTNNB1	4.30437255483491e-05	54	4
1457	CSNK2A1	1.95002668089583e-05	228	7
1459	CSNK2A2	6.9563203418693e-06	123	6
5504	PPP1R2	1.15730917301357e-06	6	3
4205	MEF2A	3.47571981389985e-06	8	3
6934	TCF7L2	5.59620124830897e-06	9	3
10749	C1R	1.78682978226143e-05	2	2
715	F5	1.78682978226143e-05	2	2
2153	IFI16	1.78682978226143e-05	2	2
3428	PPM1A	1.78682978226143e-05	2	2
5494	KIF1C	1.78682978226143e-05	2	2
7157	TP53	3.96398421873716e-05	199	7
613	BCR	6.53419229183998e-07	15	4
324	APC	3.70649570982431e-06	22	4
2932	GSK3B	2.7425656916765e-06	178	8
8312	AXIN1	1.84544235583891e-06	18	4
3486	IGFBP3	4.77022176253132e-06	7	3
5525	PPP2R5A	1.71152006505275e-05	10	3
1616	DAXX	3.29079092466909e-05	34	4
5371	PML	2.61687284313141e-05	11	3
28996	HIPK2	9.06574674453306e-06	24	4
4193	MDM2	2.7934273338322e-05	31	4
4613	MYCN	6.60790391341428e-06	7	3
207	AKT1	2.18829362783116e-05	144	7
4194	MDM4	8.41789222626442e-07	13	4
2099	ESR1	2.28892850199096e-06	99	7
2308	FOXO1	3.18763152566826e-07	24	5
5770	PTPN1	9.51887507935165e-07	53	6
208	AKT2	2.66865839184411e-07	69	7
367	AR	1.48607430226537e-07	38	6
8031	NCOA4	2.82907884711243e-07	3	3
581	BAX	6.09449170145131e-07	11	4
